run_id,repeat,system,query,concurrency,request_id,success,status,latency_ms,error
20260527-205309,1,spin,space,10,212,true,200,155.515,
20260527-205309,1,spin,space,10,210,true,200,170.775,
20260527-205309,1,spin,space,10,213,true,200,150.767,
20260527-205309,1,spin,space,10,215,true,200,129.568,
20260527-205309,1,spin,space,10,216,true,200,128.097,
20260527-205309,1,spin,space,10,217,true,200,126.542,
20260527-205309,1,spin,space,10,218,true,200,131.878,
20260527-205309,1,spin,space,10,219,true,200,118.497,
20260527-205309,1,spin,space,10,220,true,200,122.094,
20260527-205309,1,spin,space,10,222,true,200,124.705,
20260527-205309,1,spin,space,10,224,true,200,120.119,
20260527-205309,1,spin,space,10,223,true,200,129.150,
20260527-205309,1,spin,space,10,221,true,200,139.461,
20260527-205309,1,spin,space,10,225,true,200,118.494,
20260527-205309,1,spin,space,10,226,true,200,124.019,
20260527-205309,1,spin,space,10,228,true,200,118.825,
20260527-205309,1,spin,space,10,227,true,200,126.158,
20260527-205309,1,spin,space,10,230,true,200,128.483,
20260527-205309,1,spin,space,10,231,true,200,126.983,
20260527-205309,1,spin,space,10,229,true,200,139.284,
20260527-205309,1,spin,space,10,232,true,200,128.180,
20260527-205309,1,spin,space,10,234,true,200,128.151,
20260527-205309,1,spin,space,10,233,true,200,141.381,
20260527-205309,1,spin,space,10,235,true,200,133.263,
20260527-205309,1,spin,space,10,236,true,200,151.103,
20260527-205309,1,spin,space,10,237,true,200,210.425,
20260527-205309,1,spin,space,10,238,true,200,213.543,
20260527-205309,1,spin,space,10,239,true,200,209.680,
20260527-205309,1,spin,space,10,241,true,200,213.629,
20260527-205309,1,spin,space,10,240,true,200,220.877,
20260527-205309,1,spin,space,10,244,true,200,200.879,
20260527-205309,1,spin,space,10,245,true,200,202.230,
20260527-205309,1,spin,space,10,242,true,200,224.764,
20260527-205309,1,spin,space,10,243,true,200,231.965,
20260527-205309,1,spin,space,10,246,true,200,192.909,
20260527-205309,1,spin,space,10,248,true,200,177.641,
20260527-205309,1,spin,space,10,247,true,200,184.740,
20260527-205309,1,spin,space,10,253,true,200,151.006,
20260527-205309,1,spin,space,10,249,true,200,173.252,
20260527-205309,1,spin,space,10,252,true,200,156.692,
20260527-205309,1,spin,space,10,251,true,200,167.618,
20260527-205309,1,spin,space,10,250,true,200,174.894,
20260527-205309,1,spin,space,10,254,true,200,161.264,
20260527-205309,1,spin,space,10,255,true,200,211.666,
20260527-205309,1,spin,space,10,256,true,200,183.014,
20260527-205309,1,spin,space,10,261,true,200,115.753,
20260527-205309,1,spin,space,10,257,true,200,129.082,
20260527-205309,1,spin,space,10,259,true,200,128.557,
20260527-205309,1,spin,space,10,258,true,200,138.977,
20260527-205309,1,spin,space,10,263,true,200,124.816,
20260527-205309,1,spin,space,10,260,true,200,140.731,
20260527-205309,1,spin,space,10,264,true,200,130.020,
20260527-205309,1,spin,space,10,262,true,200,139.343,
20260527-205309,1,spin,space,10,265,true,200,111.725,
20260527-205309,1,spin,space,10,266,true,200,124.039,
20260527-205309,1,spin,space,10,268,true,200,105.951,
20260527-205309,1,spin,space,10,267,true,200,117.546,
20260527-205309,1,spin,space,10,269,true,200,111.234,
20260527-205309,1,spin,space,10,270,true,200,109.258,
20260527-205309,1,spin,space,10,271,true,200,107.508,
20260527-205309,1,spin,space,10,272,true,200,102.325,
20260527-205309,1,spin,space,10,274,true,200,98.728,
20260527-205309,1,spin,space,10,273,true,200,107.485,
20260527-205309,1,spin,space,10,275,true,200,120.462,
20260527-205309,1,spin,space,10,276,true,200,115.892,
20260527-205309,1,spin,space,10,280,true,200,100.860,
20260527-205309,1,spin,space,10,278,true,200,107.154,
20260527-205309,1,spin,space,10,284,true,200,94.937,
20260527-205309,1,spin,space,10,277,true,200,123.064,
20260527-205309,1,spin,space,10,279,true,200,111.720,
20260527-205309,1,spin,space,10,281,true,200,113.223,
20260527-205309,1,spin,space,10,283,true,200,110.782,
20260527-205309,1,spin,space,10,282,true,200,122.047,
20260527-205309,1,spin,space,10,285,true,200,133.242,
