system,query,concurrency,request_id,success,status,latency_ms,error
oci,,2,708,true,200,1.419,
oci,,2,709,true,200,1.357,
oci,,2,710,true,200,1.104,
oci,,2,711,true,200,1.101,
oci,,2,712,true,200,0.578,
oci,,2,713,true,200,1.903,
oci,,2,714,true,200,1.600,
oci,,2,715,true,200,0.641,
oci,,2,716,true,200,1.801,
oci,,2,717,true,200,1.541,
oci,,2,718,true,200,0.711,
oci,,2,719,true,200,0.684,
oci,,2,720,true,200,1.101,
oci,,2,721,true,200,1.099,
oci,,2,722,true,200,0.959,
oci,,2,723,true,200,0.951,
oci,,2,724,true,200,0.989,
oci,,2,725,true,200,0.984,
oci,,2,726,true,200,1.244,
oci,,2,727,true,200,1.174,
oci,,2,729,true,200,0.838,
oci,,2,728,true,200,0.980,
oci,,2,730,true,200,1.905,
oci,,2,731,true,200,2.252,
oci,,2,732,true,200,1.490,
oci,,2,733,true,200,1.197,
oci,,2,735,true,200,0.602,
oci,,2,734,true,200,0.792,
oci,,2,736,true,200,0.689,
oci,,2,737,true,200,0.698,
oci,,2,738,true,200,2.131,
oci,,2,739,true,200,2.119,
oci,,2,741,true,200,0.622,
oci,,2,740,true,200,0.791,
oci,,2,742,true,200,2.226,
oci,,2,743,true,200,2.219,
oci,,2,744,true,200,0.477,
oci,,2,745,true,200,0.536,
oci,,2,747,true,200,0.484,
oci,,2,746,true,200,0.737,
oci,,2,748,true,200,0.793,
oci,,2,749,true,200,0.793,
oci,,2,750,true,200,0.959,
oci,,2,751,true,200,2.094,
oci,,2,752,true,200,1.335,
oci,,2,753,true,200,0.738,
oci,,2,754,true,200,0.846,
oci,,2,755,true,200,0.609,
oci,,2,756,true,200,0.604,
oci,,2,757,true,200,0.625,
oci,,2,758,true,200,0.549,
oci,,2,759,true,200,0.724,
oci,,2,760,true,200,1.835,
oci,,2,761,true,200,1.368,
oci,,2,762,true,200,1.991,
oci,,2,763,true,200,1.966,
oci,,2,764,true,200,0.640,
oci,,2,765,true,200,0.604,
oci,,2,766,true,200,1.515,
oci,,2,767,true,200,1.541,
oci,,2,768,true,200,0.689,
oci,,2,769,true,200,0.704,
oci,,2,770,true,200,0.604,
oci,,2,771,true,200,0.682,
oci,,2,772,true,200,1.533,
oci,,2,773,true,200,2.258,
oci,,2,774,true,200,1.043,
oci,,2,775,true,200,0.924,
oci,,2,776,true,200,0.896,
oci,,2,777,true,200,0.602,
oci,,2,778,true,200,0.733,
oci,,2,780,true,200,1.501,
oci,,2,779,true,200,1.818,
oci,,2,781,true,200,1.841,
oci,,2,782,true,200,1.862,
oci,,2,783,true,200,0.787,
oci,,2,784,true,200,0.770,
oci,,2,785,true,200,1.229,
oci,,2,786,true,200,1.223,
oci,,2,787,true,200,0.850,
oci,,2,788,true,200,0.855,
oci,,2,790,true,200,0.735,
oci,,2,789,true,200,0.945,
oci,,2,791,true,200,0.556,
oci,,2,792,true,200,0.982,
oci,,2,793,true,200,0.735,
oci,,2,794,true,200,0.998,
oci,,2,795,true,200,0.978,
oci,,2,796,true,200,0.603,
oci,,2,797,true,200,0.623,
oci,,2,798,true,200,0.616,
oci,,2,799,true,200,0.610,
oci,,2,800,true,200,0.668,
oci,,2,801,true,200,0.656,
oci,,2,802,true,200,0.598,
oci,,2,803,true,200,0.896,
oci,,2,804,true,200,0.650,
